f1,success,precision,recall,map_condition,model_short,log_codebase_size,codebase_size,issue_id,repo,issue_idx,rep,turns_used,hit_turn_cap,total_input_tokens,total_output_tokens,total_cost,wall_time_seconds
1.0,1,1.0,1.0,baseline,ministral_3b,12.068688124847148,174327,core/16,core,16,1,14,0,151168,1611,0.010808,38.25
0.0,0,0.0,0.0,baseline,ministral_3b,12.068688124847148,174327,core/16,core,16,2,18,0,180485,1706,0.006901,44.37
1.0,1,1.0,1.0,baseline,ministral_3b,12.068688124847148,174327,core/16,core,16,3,5,0,15169,706,0.00123,9.69
1.0,1,1.0,1.0,baseline,ministral_3b,11.506545154005941,99364,core/20,core,20,1,5,0,27591,1661,0.002366,18.45
1.0,1,1.0,1.0,baseline,ministral_3b,11.506545154005941,99364,core/20,core,20,2,4,0,20201,1561,0.001802,16.1
1.0,1,1.0,1.0,baseline,ministral_3b,11.506545154005941,99364,core/20,core,20,3,10,0,52739,1572,0.003605,26.52
0.0,0,0.0,0.0,baseline,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,1,23,0,217559,2094,0.005768,51.0
0.0,0,0.0,0.0,baseline,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,2,13,0,114047,3359,0.006194,47.89
0.0,0,0.0,0.0,baseline,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,3,16,0,116498,8291,0.007076,96.13
0.0,0,0.0,0.0,baseline,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,1,26,0,57462,2548,0.00194,53.08
0.0,0,0.0,0.0,baseline,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,2,29,0,74189,1399,0.002997,44.38
0.0,0,0.0,0.0,baseline,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,3,16,0,42120,2778,0.00142,35.82
0.5,0,1.0,0.3333,baseline,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,1,15,0,101530,1245,0.004569,32.86
0.5,0,1.0,0.3333,baseline,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,2,8,0,37357,849,0.002335,14.66
0.5,0,1.0,0.3333,baseline,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,3,7,0,50244,946,0.00278,15.69
0.6667,0,1.0,0.5,baseline,ministral_3b,8.808369153122275,6690,flask/18,flask,18,1,24,0,102807,1806,0.003653,43.34
0.6667,0,1.0,0.5,baseline,ministral_3b,8.808369153122275,6690,flask/18,flask,18,2,24,0,133704,2491,0.005043,48.86
0.6667,0,1.0,0.5,baseline,ministral_3b,8.808369153122275,6690,flask/18,flask,18,3,13,0,116760,2731,0.005492,35.93
1.0,1,1.0,1.0,baseline,ministral_3b,8.899457906353966,7328,flask/3,flask,3,1,7,0,18193,836,0.000906,13.34
1.0,1,1.0,1.0,baseline,ministral_3b,8.899457906353966,7328,flask/3,flask,3,2,10,0,34504,1204,0.001785,18.4
1.0,1,1.0,1.0,baseline,ministral_3b,8.899457906353966,7328,flask/3,flask,3,3,12,0,34426,2152,0.002264,37.52
1.0,1,1.0,1.0,baseline,ministral_3b,8.827468112520654,6819,flask/6,flask,6,1,8,0,19485,501,0.001411,12.82
1.0,1,1.0,1.0,baseline,ministral_3b,8.827468112520654,6819,flask/6,flask,6,2,7,0,14606,382,0.000865,11.64
1.0,1,1.0,1.0,baseline,ministral_3b,8.827468112520654,6819,flask/6,flask,6,3,9,0,79211,587,0.00499,22.59
0.0,0,0.0,0.0,baseline,ministral_3b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,1,11,0,31652,1744,0.001882,25.92
0.0,0,0.0,0.0,baseline,ministral_3b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,2,9,0,43747,1601,0.002962,37.81
0.0,0,0.0,0.0,baseline,ministral_3b,8.341410211461865,4194,gpt-engineer/11,gpt-engineer,11,3,7,0,29353,1583,0.002063,25.66
0.4,0,1.0,0.25,baseline,ministral_3b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,1,6,0,27809,919,0.002458,16.09
0.4,0,1.0,0.25,baseline,ministral_3b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,2,5,0,18468,1320,0.001242,14.56
0.4,0,1.0,0.25,baseline,ministral_3b,8.029432840581244,3070,gpt-engineer/12,gpt-engineer,12,3,4,0,11232,878,0.000837,26.99
1.0,1,1.0,1.0,baseline,ministral_3b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,1,22,0,88993,1129,0.003506,34.12
1.0,1,1.0,1.0,baseline,ministral_3b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,2,13,0,66173,1647,0.003994,29.81
1.0,1,1.0,1.0,baseline,ministral_3b,8.36380888451688,4289,gpt-engineer/9,gpt-engineer,9,3,10,0,29518,1237,0.002379,21.28
0.0,0,0.0,0.0,baseline,ministral_3b,10.196231790580173,26802,keras/12,keras,12,1,14,0,56986,1725,0.002813,29.85
0.0,0,0.0,0.0,baseline,ministral_3b,10.196231790580173,26802,keras/12,keras,12,2,20,0,47746,3093,0.002083,42.54
0.0,0,0.0,0.0,baseline,ministral_3b,10.196231790580173,26802,keras/12,keras,12,3,7,0,14226,1305,0.000885,14.24
1.0,1,1.0,1.0,baseline,ministral_3b,10.349134450277123,31230,keras/5,keras,5,1,8,0,59597,1421,0.003504,22.9
0.0,0,0.0,0.0,baseline,ministral_3b,10.349134450277123,31230,keras/5,keras,5,2,24,0,41996,1260,0.001094,34.21
0.0,0,0.0,0.0,baseline,ministral_3b,10.349134450277123,31230,keras/5,keras,5,3,14,0,20236,1022,0.000686,42.75
1.0,1,1.0,1.0,baseline,ministral_3b,10.444153492313001,34343,keras/9,keras,9,1,11,0,82528,2283,0.004363,38.29
1.0,1,1.0,1.0,baseline,ministral_3b,10.444153492313001,34343,keras/9,keras,9,2,7,0,31016,1049,0.002625,15.92
1.0,1,1.0,1.0,baseline,ministral_3b,10.444153492313001,34343,keras/9,keras,9,3,12,0,84698,1617,0.007151,34.59
0.25,0,1.0,0.1429,baseline,ministral_3b,9.61953186182516,15056,localstack/19,localstack,19,1,14,0,125976,1627,0.006931,42.02
0.0,0,0.0,0.0,baseline,ministral_3b,9.61953186182516,15056,localstack/19,localstack,19,2,12,0,38339,1079,0.002698,20.8
0.0,0,0.0,0.0,baseline,ministral_3b,9.61953186182516,15056,localstack/19,localstack,19,3,13,0,64595,1113,0.004791,31.32
1.0,1,1.0,1.0,baseline,ministral_3b,10.563155506021905,38683,localstack/2,localstack,2,1,11,0,126521,2568,0.005358,36.42
1.0,1,1.0,1.0,baseline,ministral_3b,10.563155506021905,38683,localstack/2,localstack,2,2,14,0,178386,2089,0.007708,40.19
1.0,1,1.0,1.0,baseline,ministral_3b,10.563155506021905,38683,localstack/2,localstack,2,3,14,0,158718,1271,0.004761,33.17
0.0,0,0.0,0.0,baseline,ministral_3b,9.860214640302662,19153,localstack/9,localstack,9,1,28,0,81897,1508,0.002079,44.67
1.0,1,1.0,1.0,baseline,ministral_3b,9.860214640302662,19153,localstack/9,localstack,9,2,19,0,83089,1696,0.002966,36.38
0.0,0,0.0,0.0,baseline,ministral_3b,9.860214640302662,19153,localstack/9,localstack,9,3,1,0,4518,10,0.000389,6.46
